,open,high,low,close,volume,marketCap,date
230,4.5705499649,6.8624401093,4.5705499649,6.5513601303,5024030,211295641.338,2018-01-03
231,6.4145097733,6.959980011,5.6047801971,6.2735800743,4249260,202336630.804,2018-01-04
232,6.0912098885,6.3706102371,5.1782698631,5.3524298668,2592980,172627535.285,2018-01-05
233,5.3575000763,6.1689500809,5.071849823,5.9861798286,2001070,193067354.299,2018-01-06
234,5.9796199799,7.7645797729,5.9262599945,7.7044901848,5045620,248486597.551,2018-01-07
235,7.5572099686,7.7537899017,5.732049942,6.7020797729,5129650,215390603.104,2018-01-08
236,6.6927099228,7.2609300613,6.5467500687,6.9114398956,2079090,222124172.001,2018-01-09
237,6.8725399971,6.9316401482,5.3983101845,6.0999298096,2579540,196043357.175,2018-01-10
238,6.0967898369,7.3222699165,5.2555799484,6.0093898773,5242850,193193620.051,2018-01-11
239,6.1937499046,6.8618102074,5.7979102135,6.1421198845,1828220,197460706.925,2018-01-12
240,6.1331400871,6.539080143,6.068089962,6.1391701698,1152890,197365868.484,2018-01-13
241,6.1434497833,6.317969799,5.3510499001,5.6840400696,875127,182734065.207,2018-01-14
242,5.6517400742,7.4208698273,5.4836602211,5.934679985,7049320,190791796.346,2018-01-15
243,5.845510006,5.845510006,3.6489601135,4.3063101768,1789130,138441941.356,2018-01-16
244,4.2829999924,4.5039401054,3.1137199402,4.287419796,1012990,114399126.136,2018-01-17
245,4.3144397736,4.8505802155,3.9833500385,4.8505802155,1013340,129425648.351,2018-01-18
246,4.7698998451,5.299680233,4.6351799965,4.9433698654,930378,131901518.435,2018-01-19
247,4.9934401512,5.525539875,4.9934401512,5.335750103,782250,142371201.627,2018-01-20
248,5.3885002136,5.7538900375,4.4141898155,4.7210998535,2417820,125970796.983,2018-01-21
249,4.7805199623,5.3350100517,4.0816898346,4.9831600189,1717510,132963215.499,2018-01-22
250,5.939330101,6.4294500351,4.7582001686,5.3980698586,15117600,144034055.637,2018-01-23
251,5.7185997963,5.7430500984,4.8867101669,5.557079792,3155900,148276841.52,2018-01-24
